title,release_date,album,lyrics
Desconocida*,,,"3 ContributorsDesconocida* Lyrics[Letra de ""Desconocida*"" ft. Ovi & Anuel AA]

¡La letra completa estará disponible pronto!You might also likeEmbed"
Tony Montana,,,"1 ContributorTony Montana Lyrics[Letra de ""Tony Montana""]

Adelanto

[Verso]
En un carro placoseando, a gusto por Florida
El Tony Montana ya se hace notarYou might also likeEmbed"
Con Amigos Reales Ando,2019-06-21,,"5 ContributorsCon Amigos Reales Ando LyricsLetra ''Con Amigos Reales Ando

Y si es en Tucson yo estoy
Al tiro pa' cualquier acción
Hoy traigo ganas de tomar
Y con el Nata va empezar

Con amigos reales ando yo
No quiero mermas hoy es hoy
Y con Buchanan's festejo
Bien activado así es el
Se prende el foco y trae con qué
Una H&N se le ve
Y allá en molemon pa' andar bien
Y pues el Nata se prendió
Un blunt de mota, la mejor
El ray, el Mario y el floton
Antros, fiestas, mujeres, lavada
No ocupo pase de nada
Todo sea por la manada
Mejor páseme una dama
Pa' pegar una bailada
Parquear pues nos damos vuelta un rato
Con mi madre que la extraño
La familia visitando
Y aquí seguimos jalando
Saludos para un amigo que ahorita anda patrullando
You might also likeY aquí andamos a la orden
Su compita Natanael Cano
Y se va hasta Tucson compa Alex

Relajado nunca va estar
Nomas se enfiesta y va explotar
150 se nos va
Agarra el freeway va volar

Con amigos reales ando yo
No quiero mermas hoy es hoy
Y con Buchanas festejo
Bien activado así es el
Se prende el foco y trae con qué
Una cheyenne se le ve
Y allá en molemon pa andar bien
Y pues el Nata se prendió
Un blunt de mota, la mejor
El Ray, el Mario y el floton
Antros, fiestas, mujeres, lavada
No ocupo pase de nada
Todo sea por la manada
Mejor páseme una dama
Pa' pegar una bailada
Parquear pues nos damos vuelta un rato
Con mi madre que la extraño
La familia visitando
Y aquí seguimos jalando
Saludos para un amigo que ahorita anda patrullandoEmbed"
Abriendo el Camino,2020-06-19,,"3 ContributorsAbriendo el Camino Lyrics[Letra de ""Abriendo el Camino""]

[Verso]
Y los errores del pasado me hicieron ver en donde estoy
Y adonde voy, también quién soy
Salí cabrón, no soy de acción
En California ven mis tráilers
Ahí festejo y brindando estoy
Gracias a Dios ahí va otro gol
Billetes son al por mayor

[Pre-Coro]
No me gusta que se me metan
Porque yo ya traigo mis metas
Y no me metan sus ideas
Pa' eso traigo ideales que no los tiene cualquiera

[Coro]
Y con mi compa gordo estamos al millón
Y la fajada al cinto por si sale algún cabrón
Cualquier cosa, algún movimiento, alguna situación
La gente que me pone siempre tiene buen control
Saludos Mexicali, la ciudad del calorón
Por Hilbert, California, tranquilito vivo yo
Cerrando buenos tratos siempre al modo y como debe, sí, señor
You might also like[Interludio Instrumental]

[Pre-Coro]
No me gusta que se me metan
Porque yo ya traigo mis metas
Y no me metan sus ideas
Pa' eso traigo ideales que no los tiene cualquiera

[Coro]
Y desde el cielo un ángel el que tengo yo
Mi padre pieza clave en mi formación
Pa'l gordo más respeto porque es cabrón
La gente sabe qué arremangar en calor
Mis hijos para mí siempre serán motor
Para chingarle duro, no importa la situación
Mi esposa son mis ojos, la familia la defiendo con valorEmbed"
Me Critican,2020-05-8,,"5 ContributorsMe Critican Lyrics[Letra de ""Me Critican""]

[Verso 1]
¿Para qué tanta maldad?
¿Qué ganan con criticar?
¿A dónde quieren llegar
Hablando siempre de más?
Me critican por fumar
A veces uno de wax
Porque me gusta andar high
Y a nadie le hago mal
Yo no sé qué tanto hablan
Por detrás de mis espaldas
Ni siquiera dan la cara
Eso es lo que siempre pasa

[Coro]
Les arde verme feliz, me la paso bien machif
Y no es para presumir, pero quieren destruir
Algo que yo construí, y se los quiero advertir
No quieran subirse al ring porque mal pueden salir

[Interludio]
Y nos vamos hasta la finiquera, viejones
Eah
You might also like[Verso 2]
A eso se han de dedicar
Siempre a la gente quemar
Pónganse a trabajar
Ya que no van a estudiar
Solo digo la verdad
Me la paso a todo dar
Prendo, niggas, all the time
Ya se la saben, carnales
También me gusta tomar
Cuando es tiempo de variar
Siempre ando bien relax
Porque así me gusta andar

[Coro]
Les arde verme feliz, me la paso bien machif
Y no es para presumir, pero quieren destruir
Algo que yo construí, y se los quiero advertir
No quieran subirse al ring porque mal pueden salirEmbed"
El Mini Barbie,2020-10-9,,"5 ContributorsEl Mini Barbie Lyrics[Letra de ""El Mini Barbie""]

[Verso 1]
Por apodo ""El Mini Barbie"" ya muchos han de saber
Pues a mi edad muy corta las cosas me salen bien
En la H yo radico, muy seguido me han de ver
En San Pedro con arranque me la paso siempre al cien
Mi padre fue extraditado y en su puesto me quedé
Varios años en la chamba, experiencia yo he de tener
Con los carros deportivos y colores black y red
En mi garaje tengo algunos que a veces no sé ni cuál escoger

[Coro]
Recuerdos tengo grabados
Un secuestro me pegaron
El Iván y el Alfredito conmigo siempre al tiro
Se agradece, carnalitos

[Verso 2]
Se lo extraña, jefecito, su recuerdo tengo yo
Varios años tras las rejas los aguantas con valor
Este puesto que dejaste no es fácil la verdad
Pero el morral colgado ya lo traigo y nadie me lo va a quitar
En mis fiestas un tabaco y una lata que sea Tecate Light
Con los juniors en San Carlos y pistolas pa' jugar
Un rugido, es el tigrito siempre listo pa' pelear
Son tres ocho en la cintura bien fajada lista para detonar
You might also like[Coro]
Los cuernos mi favoritos
Las modelos mi delirio
Y aunque soy muy jovencito, tengo mucho recorrido
Saludos para HermosilloEmbed"
Así Es el Morro,2020-01-24,,"6 ContributorsAsí Es el Morro Lyrics[Letra de ""Así Es El Morro""]

[Verso 1]
Un gallito me voy forjando y aun recuerdo esos momentos en que no quebraba ni un plato
Ahora las cosas han cambiado ya no soy ese morrillo que caminaba en el barrio
Ahora me gusta atizar
Disfrutar porque la vida se nos va
Vámonos a festejar con botellas de champagne

[Verso 2]
Mucha gente me critica por la forma en la que me visto y por el carro que me cargo
Dicen en que andará chambeando por la forma en que me muevo y la gente que esta a mi lado
Ahora saben bien quien soy, en su frente ya claro quedo
No digo mentiras yo, escuchen claro este corrido

[Coro]
Falsos amigos se me arriman de a montón
Nomas me miran arriba del mustangson
Pero cuando andaba descalzo y perreándola ninguno se acercó

[Puente]
Y ahora venimos con todo mi compa Nata. Con mis compitas de Grupo Sigma viejones. Y arriba la H

[Verso 3]
Al lado de mi siempre anda un buen compañero que es el que ha estado conmigo desde abajo
El negocio poco a poquito va creciendo
Pura ropa Gucci y Fendi la que usamos, también porto Louis Vuitton
Y me gusta andar arriba del jeep, tranquilón
Para que sepan cómo me la paso yo
You might also like[Verso 4]
Me la llevo en california junto a los plebes del equipo que formamos
En un vuelo comercial me voy directo hacia Europa ya conozco varios lados
Cuando yo juego futbol varios goles a los contras metí
Los plebes siempre en acción
Me despido forjandome un jungle [?]
Yo sigo siendo el morro que juega futbol
Nomas que ahora me miran el cigarron
Soy respetuoso y me respetan
No tolero las envidias ni traicionEmbed"
Dos Botellas de Mezcal,2020-07-24,,"3 ContributorsDos Botellas de Mezcal Lyrics[Letra de ""Dos Botellas de Mezcal""]

[Verso]
Cuando me muera, como te agradecería
Que pusieras en mi tumba
Dos botellas de mezcal
Porque sé que de morirme de una cruda
Sabes bien que es culpa tuya
Por no poderte olvidar

[Pre-Coro]
Todas las noches cuando agarro la botella
Yo te miro dentro de ella
Y me pongo a platicar
Al rato siento que me abrazas y me aprietas
Cual si fuera cosa cierta
Te amo y te amo y no es verdad

[Coro]
Cuando al fin vuelvo de mis locos pensamientos
Empiezan los sufrimientos
Porque te busco y no estás
De mis ojos empieza a brotar el llanto
Porque yo te quiero tanto
Y no lo puedo evitar
You might also like[Interludio]
Y recordando a Miguel y Miguel, viejones
¡Eah!
Ayayai

[Pre-Coro]
Todas las noches cuando agarro la botella
Yo te miro dentro de ella
Y me pongo a platicar
Al rato siento que me abrazas y me aprietas
Cual si fuera cosa cierta
Te amo y te amo y no es verdad

[Coro]
Cuando al fin vuelvo de mis locos pensamientos
Empiezan los sufrimientos
Porque te busco y no estás
De mis ojos empieza a brotar el llanto
Porque yo te quiero tanto
Y no lo puedo evitar

[Outro]
EahEmbed"
Mirada,,,"1 ContributorMirada Lyrics[Letra de ""Mirada""]

[Verso]
Y una mirada dice mas que todo
El sol no siempre sale para todos
Y tu sonrisa nada mas pa' mi
Y tus ojitos solos para miYou might also likeEmbed"
F1,2018-12-14,,"3 ContributorsF1 Lyrics[Verso 1]
Nunca tuvo miedo a nada
Pues desde niño andaba en la ondeada
Le gusta quemar la mota con todos sus camaradas
Muy a gusto se la pasa

En caliente fue creciendo, la escuela de calle
Me dio bastantes habilidades para destacarme
No conozco otra forma de trabajar
A mi padre en la mente siempre voy a llevar

[Coro]
F1 el teporro
La clave que trae el morro
Por la H se nos mira
Y aunque no ande de placoso, también me doy a notar

[Verso 2]
Batallando le encontré el camino
Gracias padre, cholo, sabes que contigo siempre al tiro
Un abrazo mando al cielo para un querido amigo
Carnal Bobby, te nos fuiste en el camino

[Coro]
Con un gallo me relajo
Con un chirri me destrampo
En los antros disfrutando de buena gente rodeado
Y así todo sale bien
You might also like[Verso 3]
Cuando menos pensaba, enredado
En la mafia me encontraba, la vida no está pelada
También hay que echarle ganas, nadie te regala nada

Cuando me enclique yo ya sabía
Que tenía que dar mi vida por el jefe, si tenía
Cumpliré  lo que me digan, mientras Dios me preste vida
Pa' la papa saco yo todos los días

[Coro]
El pellejo es el que rifa
La palabra es importante
Los huevos van por delante
Y ni modo hay que rajarle, eso yo lo sé muy bien

[Verso 4]
Corta edad es la que me acompaña
También corta la fajada, precauciones adecuadas
Que me tomo pa' la chamba, para que lo sepan los lacras
Y el respaldo de todita la plebada

[Coro]
Unos gallos en la arena
Porque no, también festejan
Los Lacost allá por sierra
Esos no se me despegan
Al modo que debe serEmbed"
Ya Cambié*,,,"1 ContributorYa Cambié* Lyrics[Letra de ""Ya Cambié""]

[Adelanto]

[Verso]
Me va amaneciendo y no tengo sueño
Me pasan los noches, los días son negros
Por tenerte me estoy muriendo
Por sentirte yo ya no puedo esperarme otro día para buscarte
Y decirte que es muy malo de mi parte
Me gusta andar en el desastre
No me juzguen, es—You might also likeEmbed"
El Encuentro,2021-04-16,,"2 ContributorsEl Encuentro LyricsHoy no dormimos, todos despiertos
Pónganse capuchas pa'l encuentro
Bien pilas por si llega el momento
De mandar contrarios pa'l infierno
No disparen, órdenes del viejo
Amigos, así dijo el sargento
Una línea que me quite el miedo
Ya cuando traigo terciado el cuerno

En el monte paso los doscientos
Sin luces para andar encubiertos
Mis neuronas a más de quinientos
Por el polvo que me trae despierto
Cero nervioso, son hombres del ghetto
Pelones, barbones, trajes negros

¡Y con ésta nos vamos hasta Hermosillo, Sonora, viejones!
¡Ay-ay-ay!

En la mente nomás los consejos
De la santa cuando estuve preso
No hay nada que se parezca a esto
La lluvia de balas y el suspenso
Nomás les digo lleguen a viejos
Que en este jale no existe eso
Aquí tú solo te das tropiezos
Y es cuando la vida la perdemos
You might also likeHoy no dormimos, todos despiertos
Pónganse capuchas pa'l encuentro
Bien pilas por si llega el momento
De mandar contrarios pa'l infierno
No disparen, órdenes del viejo
Amigos, así dijo el sargentoEmbed"
Hoy Quiero Ver*,2020-None-None,,"1 ContributorHoy Quiero Ver* Lyrics[Letra de ""Hoy Quiero Ver"" ft. Eladio Carrión]

¡La letra completa estará disponible pronto!

[Adelanto]

[Coro: Natanael Cano]
...más
Dame, la enrolo para quemar
Hoy quiero ver

[Verso: Eladio Carrión]
Yeah
Ante' eran pantalone' back-off, yeah
En el funny veinte saco', yeah
FN y el draco
Y ahora puse Louis V todo' lo' taco'
Ya no fuma regi, ahora le gusta gelatto
Lo' Phillie' de ocho gramo', si no no me reparo
Y la vuelta se te cae, e' que ere' un novato
Me siento hijueputa cuando me levanto (Oh-oh)
Gracia' a mi Dio' por darme tanto
...
Yo me siеnto hijueputa cuando me levanto
No mе diga' cuándo, dime cuánto
Soy un perro, mami, dime ""Burton""You might also likeEmbed"
Endiamantado*,,,"3 ContributorsEndiamantado* Lyrics[Letra de ""Endiamantado""]

¡La letra completa estará disponible cuando se lance la canción!

[Adelanto]

[Intro]
Oh, dímelo, Biza
Jeje
(Ahora me miran que ando bien tumbado)

[Verso]
Endiamantado, siempre volado, y ahora me miran que ando bien tumbado
Muchos me han fallado, pero ya he gastado
Mucho más dinero de lo ganado, ey
Ahora que saben que estamos arriba piensan que uno no ha batallado
El Jesucristo en el pecho, innecesario, pero lo traigo endiamantado, eyYou might also likeEmbed"
No Sé por Qué Tanto Enredo,2020-01-3,,"3 ContributorsNo Sé por Qué Tanto Enredo LyricsBrindo por estar en donde estoy
No fue nada pelada y no quiero que alguien llegue hoy
A llevarse lo que con sudor gané
Y quitarme lo que poco a poco yo logré
Callado como me quisieran ver
Varias cosas me aguanté, pero nunca hay que dejarse de
La gente que nomás viene a chingar
Ya no me voy a dejar

Y no sé por qué tanto enredo
Si no pusieron ni un dedo y ahora me cobran a mí
Porque saben que soy bueno
Y no quieren soltar talento y me les tuve que salir

No me digan que no puedo
Porque saben que las puedo
Yo solo me las arreglé
Pa'l trabajo siempre vengo concentrado
Yo no ocupo de un santo y por eso me la he rifado

¡Eah!
¡Y por estar en donde estoy, viejones!

Cambiado por un Fendi y Louis Vuitton
Y en la bolsa, cómo no, pura rama que es de la mejor
Me la fumo cuando salgo a dar el rol
Nunca solo, aquí andan dos
Pensando cómo fue que estoy aquí
Gente se reía de mí, ahora los topo y me dicen sí
Se me subió porque te olvidas de mí
Y es que ahora me toca a mí
You might also likeY no sé por qué tanto enredo
Si no pusieron ni un dedo y ahora me cobran a mí
Porque saben que soy bueno
Y no quieren soltar talento y me les tuve que salir

No me digan que no puedo
Porque saben que las puedo
Yo solo me las arreglé
Pa'l trabajo siempre vengo concentrado
Yo no ocupo de un santo y por eso me la he rifadoEmbed"
Ovidado,,,"1 ContributorOvidado LyricsDame gracias que por mi tu es que llegaste
Con cara de pobre y que el suelo tocaste
Para mi tu no lo has pisado bastante
Si venías de nada y ve como cambiaste

Dame gracias que por mi tu es que llegaste
Con cara de pobre y que el suelo tocaste
Para mi tu no lo has pisado bastante
Si venías de nada y ve como cambiaste

Carro nuevo, todo nuevo, eso que importa
Disfruto la vida y es lo que me toca
Con mujerеs me la paso, a ti la loca
Te dejé еncerrado porque se te enoja

Arriba de dos, tres carros, todos polarizados
La baby no se sube si no está bien controlado
Fiesta, droga, gentes, armas, eso le gusta
¿Quién soy yo para decirle que me asusta?

Para ti ya no hay subida, te quedaste
Te tumbé la película, ya ni cantes
Con corona o sin corona me mamaste
Mi charrito mejor vente pa' trozarte

Cambiaste a tus amigos por dos pendejos
Te convertiste en payaso y saben eso
Que me envidien es normal pero lo siento
Yo siempre fui la estrella del movimiento
You might also likeCarro nuevo, todo nuevo, eso que importa
Disfruto la vida y es lo que me toca
Con mujeres me la paso, a ti la loca
Te dejé encerrado porque se te enoja

Dame gracias que por mi tu es que llegaste
Con cara de pobre y que el suelo tocaste
Para mi tu no lo has pisado bastante
Si venías de nada y ve como cambiaste

Arriba de dos, tres carros, todos polarizados
La baby no se sube si no está bien controlado
Fiesta, droga, gentes, armas, eso le gusta
¿Quién soy yo para decirle que me asusta?

Dame gracias que por mi tu es que llegaste
Con cara de pobre y que el suelo tocaste
Para mi tu no lo has pisado bastante
Si venías de nada y ve como cambiaste

Carro nuevo, todo nuevo, eso que importa
Disfruto la vida y es lo que me toca
Con mujeres me la paso, a ti la loca
Te dejé encerrado porque se te enojaEmbed"
No Los Veo*,,,"1 ContributorNo Los Veo* Lyrics[Letra de ""No Los Veo"" ft. Tyan G]

[Verso: Tyan G & Natanael Cano]
Ahora me la paso bien tumba'o (Yeah)

[Estribillo: Natanael Cano]
El dinero todo el día esta subiendo
Pusieron pie, pero acá no los veo
¿Dónde están los que nunca me creyeron?
Ahora tengo modelos que ni creo
Pusieron pie, pero acá no los veo
Modelos, revistas, somos los CEO's (Yah)
Mujeres yo tengo un museo

[Verso: Natanael Cano]
Las casa exóticas ni yo lo creo
Viviendo la vida mas recia que el Checo en torneo (—neo)
Son cero a la izquierda y aquí ni siquiera los veo (Veo)You might also likeEmbed"
Morritas (OG),2023-None-None,,"2 ContributorsMorritas (OG) Lyrics[Verso 1]
Me está marcando la morrita
Quiere que la vaya a ver ahorita
Le damos lo que necesita
Me abraza y siente la glocksita
Y adiamantado hasta los dientes
Piensan que uno es un delincuente
Por el humo y por este ambiente
Que porque ando con tanta gente

[Puente]
Para arriba pa' qué, para abajo
No me pregunten qué traigo en el vaso
Dos Cayennes las que siguen el paso
Dos calacas las que trae en el brazo

[Coro]
Afirmativo 5 - 5 al tiro
En la Mercedes le pongo corridos
Ella le baja pa' no hacer más ruido
Su vato piensa que yo soy su amigo

Eah
Y así suenan los tumbados chiquitita
Ayay!
You might also like[Verso]
Hoy dominamos la balanza
Y aunque le pise, no me alcanza
Deportivo siempre les pasa
Quemando de una buena mata
Y ahora no'mas me ven pa'rriba
Llegan y me dicen que me estiman
Ni me conocen no'más miran
Cómo me muevo, como brilla
Sus ojos me tienen envuelto
Su perfume con olor a cuerpo
El viento me quita tus besos
Lo que vivimos fueron tiempos

[Puente]
Para arriba pa' qué, para abajo
No me pregunten qué traigo en el vaso
Dos Cayennes las que siguen el paso
Dos calacas las que trae en el brazo

[Coro]
Afirmativo 5 - 5 al tiro
En la Mercedes le pongo corridos
Ella le baja pa' no hacer más ruido
Su vato piensa que yo soy su amigoEmbed"
El Toro Encartado - Spotify Singles,2023-09-14,,"1 ContributorEl Toro Encartado - Spotify Singles LyricsEse que trae muchas ganas
De darme pa' bajo que me dé la cara
Yo como quiera lo atiendo
Como quiera le entro y no traigo manada

Yo solito le hago al frente
Y atoro a la gente que manda al contrario
Ya se está haciendo costumbre
Matar dos o tres de los que matan diario

Este día, no lo recibo
Porque a domicilio, te haré una consulta
No quiero tantos pacientes
Porque mucha gente se muere sin culpa

Bien dicen que en el negocio
Siempre son los socios los que te traicionan
Cuando sale muy buen queso
Que vale alto precio y la vaca está lona
Pero soy toro encartado
Y se van a tragar lo que me salga ahora

Se caen las torres gemelas
Se murió mi abuela que eran importantes
Que no te llene de plomo
Si nosotros somos narcotraficantes
You might also likePara mi remordimiento
De veras que siento darte un gran regalo
¿Qué color quieres la caja?
¿Te gusta plateada o del color dorado?

No se te olvide en el viaje
Llevarle el mensaje a tus ex-pistoleros
Que no les quede la duda
Que yo con las viudas cómo me divierto

Ya con esta me despido
Me llegó un pitido que es como una bomba
México, Estados Unidos
Panamá, Perú, Venezuela y Colombia
Y está directo conmigo
Cuba y Puerto Rico, los traigo en la bolsaEmbed"
Bien Loco (Demo)*,,,"3 ContributorsBien Loco (Demo)* Lyrics[Letra de ""Bien Loco""]

[Coro]
Las tracas, las tracas, las tracas, las tracas que trae bien empinga'o
Bien loco, bien loco, bien loco, bien loco, bien loco, bien atravesa'o
Bien loco, bien psycho, me tienen miedo, dicen que yo ando bien mal
Bien loco, bien psycho, me tienen miedo, dicen que yo ando bien mal
Las tracas, las tracas, las tracas, las tracas que trae bien empinga'o
Bien loco, bien loco, bien loco, bien loco, bien loco, bien atravesa'o
Bien loco, bien psycho, mе tienen miedo, dicеn que yo ando bien mal
Bien loco, bien psycho, me tienen miedo, dicen que yo ando bien mal

[Verso]
Contigo la paso muy bien
Dile a tu novio que te apague el cel
Nos encerramo', la pásamo' al cien
No ocupa droga' pa sentirse bien
Mirando las nubes, el cielo
Gritando en la distancia, muero
Pero ya no quiero más sexo
Yo solo quiero brillar
Cogerme a las madre' de amigo'
Lo siento, pero ella sola va a llamar
Las nubes y el cielo yo te hago tocar
La noche contigo tú va' a disfrutar
Se pone bellaca cuando prende el blunt
Cuando yo le bailo se pierde el control
Con una pastilla nos pusimo' hot
Para que los sepa nos fuimo' los do'
Mira cómo se me queda viendo
Bailando hizo que me quedara pensando y sonriendo
You might also like[Coro]
Bien loco, bien loco, bien loco, bien loco, bien loco, bien atravesa'o
Bien loco, bien psycho, me tienen miedo, dicen que yo ando bien mal
Las tracas, las tracas, las tracas, las tracas que trae bien empinga'o
Bien loco, bien psycho, me tienen miedo, dicen que yo ando bien mal
Bien loco, bien psycho, me tienen miedo, dicen que yo ando bien mal
Bien loco, bien psycho, me tienen miedo, dicen que yo ando bien malEmbed"
Mochila Versace,2021-11-20,,"1 ContributorMochila Versace Lyrics[Verso 1: Natanael Cano]

Hoy ya no tengo ganas de ir a estudiar
Ni por que me compre una mochila versace
Ya no cargo libros, ahora solo libras
Empezamos y nunca nos fue mal
Gracias a dios por darme una oportunidad
De cambiar mi vida para bien, o pa' mal
Esta claro que no soy hablador
Todo lo que les dije fue lo que paso
Yo soy la prueba de que se puede, y se pudoYou might also like1Embed"
Un,2020-12-4,,1 ContributorUn LyricsY aqui naciYou might also likeEmbed
